"model","query","table","prompt_tokens","generated_tokens","eval_duration_sec","total_duration_sec","tokens_per_sec","time_total_sec","status","sql","run_id","run_date"
"qwen2.5-coder:latest","Select number of variants in NEK1","varInfo_synthetic",155,22,1.787763718,2.281476172,12.3058767657573,2.29275393486023,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",3,"20260620"
"qwen2.5-coder:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",157,15,1.191721312,1.702839796,12.5868354026717,1.71389079093933,"PASS","SELECT * FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1",3,"20260620"
"qwen2.5-coder:latest","Select number of variants in NEK1","varInfo_synthetic",155,22,1.80902133,2.297646781,12.16127175239,2.30875611305237,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",4,"20260620"
"qwen2.5-coder:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",157,23,1.877723017,2.411438742,12.2488779185051,2.42245173454285,"PASS","SELECT VAR_id FROM varInfo_synthetic WHERE AF = (SELECT MAX(AF) FROM varInfo_synthetic);",4,"20260620"
"qwen2.5-coder:latest","Select number of variants in NEK1","varInfo_synthetic",155,22,1.905691312,2.409099537,11.5443670553922,2.42017006874084,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",5,"20260620"
"qwen2.5-coder:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",157,15,1.194141068,1.700711053,12.5613299818276,1.71163702011108,"PASS","SELECT * FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1",5,"20260620"
"mistral:latest","Select number of variants in NEK1","varInfo_synthetic",157,75,8.638339648,15.359881806,8.68222402176145,15.3707141876221,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';

This query will return the count of rows (number of variants) for the gene named 'NEK1' from the table `varInfo_synthetic`.",1,"20260620"
"mistral:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",159,86,9.985263786,10.369247657,8.61269184701737,10.3799681663513,"PASS","SELECT statement to find the variant with the highest allele frequency (AF):


SELECT VAR_id, AF
FROM varInfo_synthetic
ORDER BY AF DESC
LIMIT 1;


This query will return the variant ID and its corresponding allele frequency in descending order and select only one row with the highest value.",1,"20260620"
"mistral:latest","Select number of variants in NEK1","varInfo_synthetic",157,81,9.374856252,9.72549345,8.64013248018813,9.73622822761536,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';

This query selects the count of rows (number of variants) where the gene_name column is equal to 'NEK1'.",2,"20260620"
"mistral:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",159,104,12.068444544,12.476183653,8.61751484384167,12.4870638847351,"PASS","SELECT statement to find the variant with the highest allele frequency (AF) among all records in the table 'varInfo_synthetic':


SELECT * FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1;


This query orders the results by allele frequency (AF) in descending order and returns the first (top) result, which should be the variant with the highest allele frequency.",2,"20260620"
"mistral:latest","Select number of variants in NEK1","varInfo_synthetic",157,89,10.317359081,10.668903485,8.62623848809319,10.6796040534973,"PASS","SELECT statement you requested:


SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';


This statement will return the count of rows (i.e., number of variants) in the `varInfo_synthetic` table where the `gene_name` column equals 'NEK1'.",3,"20260620"
"mistral:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",159,120,13.976258105,14.396828319,8.58598911800792,14.4080231189728,"PASS","SELECT statement to find the variant with the highest allele frequency (AF):


SELECT VAR_id, AF
FROM varInfo_synthetic
ORDER BY AF DESC
LIMIT 1;


This statement will return the ID of the variant with the highest allele frequency and its corresponding allele frequency value. The ORDER BY clause sorts the results in descending order based on the AF column, and LIMIT 1 selects only the first row, which is the one with the highest AF.",3,"20260620"
"mistral:latest","Select number of variants in NEK1","varInfo_synthetic",157,81,9.414974951,9.768896475,8.60331550764208,9.77987790107727,"PASS","select the count (number) of variants in the 'NEK1' gene, you can use the following SQL query:


SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';

This will return the total number of rows where `gene_name` equals 'NEK1'.",4,"20260620"
"mistral:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",159,114,13.315182619,13.727452547,8.56165501157517,13.7386908531189,"PASS","SELECT VAR_id, AF
FROM varInfo_synthetic
ORDER BY AF DESC
LIMIT 1;


This statement selects the `VAR_id` and `AF` columns from the table `varInfo_synthetic`, sorts the results in descending order by the `AF` column, and returns only the first row (the one with the highest `AF` value).",4,"20260620"
"mistral:latest","Select number of variants in NEK1","varInfo_synthetic",157,55,6.287307221,6.62109287,8.74778312348036,6.63182377815247,"PASS","select the count of rows for variants related to the gene NEK1:


SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",5,"20260620"
"mistral:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",159,97,11.27276653,11.683911997,8.60480874343097,11.6948578357697,"PASS","SELECT statement to find the variant with the highest allele frequency (AF):


SELECT VAR_id, AF
FROM varInfo_synthetic
ORDER BY AF DESC
LIMIT 1;


This query sorts all records in the `varInfo_synthetic` table by the `AF` column in descending order and selects the first (highest) record.",5,"20260620"
